Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituição (Nome);Instituicao;nomeUnidadeRecente;nomeIdCurso;tipoCurso;tipoOferta;ModalidadeEnsino;Número de cursos;Número de concluintes;Número de ingressantes;Número de inscritos;Número de Matrículas;Número de vagas;Matrícula Equivalente | Geral
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Meio Ambiente (Técnico);Técnico;Subsequente;Educação Presencial;1;6;;;62;;63,24
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Integrado;Educação Presencial;1;33;;;168;;180,26399999999998
2021;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Mineração (Técnico);Técnico;Subsequente;Educação Presencial;1;6;;;54;;57,942
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Computação (Licenciatura);Licenciatura;Não se aplica;Educação Presencial;1;;36;333;112;40;120,96000000000001
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Especialização - Desenvolvimento Educacional e Social (Especialização (Lato Sensu));Especialização (Lato Sensu);Não se aplica;Educação a Distância;1;;23;23;23;25;23
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Qualificação Profissional - Desenvolvimento Educacional e Social (Qualificação Profissional (FIC));Qualificação Profissional (FIC);Não se aplica;Educação a Distância;1;42;196;196;196;320;6,975
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Integrado;Educação Presencial;1;25;40;390;217;40;275,59000000000003
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Eletromecânica (Técnico);Técnico;Subsequente;Educação Presencial;1;28;25;237;127;40;161,29
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Integrado;Educação Presencial;1;58;40;111;220;40;275
2020;Nordeste;BA;Bahia;Instituto Federal;Instituto Federal da Bahia;IFBA;Campus Jacobina;Técnico em Informática (Técnico);Técnico;Subsequente;Educação Presencial;1;9;;;90;;112,5
