Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);nomeUnidadeRecente;nomeCurso;tipoCurso;tipoEixoTecnologico;SubeixoTecnologico;tipoOferta;turnoCurso;ModalidadeEnsino;nomeFonteFinanciamento;Número de Matrículas;Matrículas | Número de Evadidos;Matrículas | Taxa de Evasão %
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Integral;Educação Presencial;Sem Programa Associado;149;5;0,034
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Noturno;Educação Presencial;Sem Programa Associado;71;4;0,056
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;90;53;0,589
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Meio Ambiente;Técnico;Ambiente e Saúde;Meio Ambiente;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;134;40;0,299
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Integrado;Integral;Educação Presencial;Sem Programa Associado;141;18;0,128
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Integrado;Noturno;Educação Presencial;Sem Programa Associado;68;9;0,132
2020;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Mineração;Técnico;Recursos Naturais;Recursos Minerais;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;121;31;0,256
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Computação;Licenciatura;Desenvolvimento Educacional e Social;Desenvolvimento Educacional;Não se aplica;Noturno;Educação Presencial;Sem Programa Associado;108;1;0,009
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Qualificação Profissional - Desenvolvimento Educacional e Social;Qualificação Profissional (FIC);Desenvolvimento Educacional e Social;Desenvolvimento Educacional e Social;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;110;;
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Qualificação Profissional - Informação e Comunicação;Qualificação Profissional (FIC);Informação e Comunicação;Informação e Comunicação;Não se aplica;Não se aplica;Educação a Distância;Sem Programa Associado;55;40;0,727
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Integrado;Integral;Educação Presencial;Sem Programa Associado;162;6;0,037
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Eletromecânica;Técnico;Controle e Processos Industriais;Automação;Subsequente;Noturno;Educação Presencial;Sem Programa Associado;59;;
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Integral;Educação Presencial;Sem Programa Associado;88;5;0,057
2021;Nordeste;BA;Bahia;Instituto Federal;IFBA;Instituto Federal da Bahia;Campus Jacobina;Técnico em Informática;Técnico;Informação e Comunicação;Informática;Integrado;Noturno;Educação Presencial;Sem Programa Associado;67;1;0,015
