Ano;Região;UF;Estado;Organização Acadêmica PNP;Instituicao;Instituição (Nome);nomeUnidadeRecente;categoriaSituacao;nomeSituacao;FluxoRetido;Número de Matrículas
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Catalão;Evadidos;Abandono;Em fluxo;17
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Catalão;Evadidos;Desligada;Em fluxo;9
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Catalão;Evadidos;Transf. externa;Em fluxo;18
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;Concluintes;Concluída;Em fluxo;372
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;Concluintes;Integralizada;Em fluxo;1
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;Em curso;Em curso;Em fluxo;1244
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;Em curso;Em curso;Retido;575
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;Evadidos;Abandono;Em fluxo;58
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;Evadidos;Desligada;Em fluxo;278
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ceres;Evadidos;Transf. externa;Em fluxo;84
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;Concluintes;Concluída;Em fluxo;205
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;Em curso;Em curso;Em fluxo;672
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;Em curso;Em curso;Retido;237
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;Evadidos;Abandono;Em fluxo;3
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;Evadidos;Desligada;Em fluxo;21
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;Evadidos;Reprovado;Em fluxo;76
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Cristalina;Evadidos;Transf. externa;Em fluxo;15
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Concluintes;Concluída;Em fluxo;204
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Concluintes;Integralizada;Em fluxo;30
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Em curso;Em curso;Em fluxo;479
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Em curso;Em curso;Retido;68
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Evadidos;Abandono;Em fluxo;7
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Evadidos;Desligada;Em fluxo;90
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Evadidos;Reprovado;Em fluxo;30
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Hidrolândia;Evadidos;Transf. externa;Em fluxo;7
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ipameri;Concluintes;Concluída;Em fluxo;1045
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ipameri;Em curso;Em curso;Em fluxo;365
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ipameri;Em curso;Em curso;Retido;69
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ipameri;Evadidos;Abandono;Em fluxo;16
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ipameri;Evadidos;Desligada;Em fluxo;29
2024;Centro-Oeste;GO;Goiás;Instituto Federal;IF GOIANO;Instituto Federal Goiano;Campus Ipameri;Evadidos;Transf. externa;Em fluxo;23
